term,name,section,component,title,startTime,endTime,monday,tuesday,wednesday,thursday,friday,online,preReq,coReq,association,labRequired,requireEngineer,id
Winter,COMP346,WW,LEC,OPERATING SYSTEMS,1065,1215,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7333,TRUE,N,473
Winter,COMP249,WW,LEC,OBJ-ORIENTED PROGRAMMING II,1065,1215,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,COMP248,,1030,TRUE,N,474
Winter,COMP346,WWWA,TUT,OPERATING SYSTEMS,1230,1280,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7333,TRUE,N,475
Winter,COMP249,WWWA,TUT,OBJ-ORIENTED PROGRAMMING II,1230,1330,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,COMP248,,1030,TRUE,N,476
Winter,COMP346,WWWB,TUT,OPERATING SYSTEMS,795,845,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7333,TRUE,N,477
Winter,COMP249,WWWB,TUT,OBJ-ORIENTED PROGRAMMING II,1140,1250,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP248,,1030,TRUE,N,478
Winter,COMP371,WWWI,LAB,COMPUTER GRAPHICS,975,1085,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"COMP352, COEN352",,,TRUE,,479
Winter,COMP371,WWWJ,LAB,COMPUTER GRAPHICS,1230,1340,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"COMP352, COEN352",,,TRUE,,480
Winter,COMP371,WWWK,LAB,COMPUTER GRAPHICS,945,1055,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"COMP352, COEN352",,,TRUE,,481
Winter,COMP371,WWWL,LAB,COMPUTER GRAPHICS,1230,1340,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"COMP352, COEN352",,,TRUE,,482
Winter,COMP371,WWWM,LAB,COMPUTER GRAPHICS,945,1055,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"COMP352, COEN352",,,TRUE,,483
Winter,COMP353,X,LEC,DATABASES,795,870,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"(COMP352, COEN352)",,3516,TRUE,NOENG,484
Winter,COMP352,X,LEC,DATA STRUCTURES + ALGORITHMS,795,870,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP 249,COMP 232,1053,TRUE,NOENG,485
Winter,COMP353,X XA,TUT,DATABASES,975,1025,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"(COMP352, COEN352)",,3516,TRUE,NOENG,486
Winter,COMP352,X XA,TUT,DATA STRUCTURES + ALGORITHMS,975,1025,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP 249,COMP 232,1053,FALSE,NOENG,487
Winter,COMP352,X XB,TUT,DATA STRUCTURES + ALGORITHMS,975,1025,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP 249,COMP 232,1053,FALSE,NOENG,488
