term	subject	courseNumber	section	component	name	location	startTime	endTime	monday	tuesday	wednesday	thursday	friday	online	enrollmentCap	preReq	coReq	equivalent	association	requireEngineer
Winter	COMP	249	PPPB	TUT	OBJ-ORIENTED PROGRAMMING II	H429	17.45.00	19.25.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	45	COMP248			1026	Y
Winter	COMP	228	PPPB	TUT	SYSTEM HARDWARE	H520	20.30.00	22.10.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	35			SOEN 228	1005	NOENG
Winter	COMP	228	PPPC	TUT	SYSTEM HARDWARE	H537	20.30.00	22.10.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	35			SOEN 228	1005	NOENG
Winter	COMP	249	QQ	LEC	OBJ-ORIENTED PROGRAMMING II	H520	17.45.00	20.15.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	65	COMP248			1027	N
Winter	COMP	249	QQQA	TUT	OBJ-ORIENTED PROGRAMMING II	H459	20.30.00	22.10.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	20	COMP248			1027	N
Winter	COMP	249	QQQB	TUT	OBJ-ORIENTED PROGRAMMING II	H459	19.45.00	21.25.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	45	COMP248			1027	N
Winter	COMP	345	S	LEC	"ADVANCED PROGRAM DESIGN, C++"	H407	14.45.00	16.00.00	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	110	COMP352				Y
Winter	COMP	352	S	LEC	DATA STRUCTURES + ALGORITHMS	H433	13.15.00	14.30.00	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	60	COMP 249	COMP 232	COEN 352	1052	NOENG
Winter	COMP	249	S	LEC	OBJ-ORIENTED PROGRAMMING II	H435	08.45.00	10.00.00	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	120	COMP248			1028	N
Winter	COMP	248	S	LEC	OBJ-ORIENTED PROGRAMMING I	H553	17.45.00	20.15.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	90				1021	N
Winter	COMP	249	S SA	TUT	OBJ-ORIENTED PROGRAMMING II	H621	10.15.00	11.55.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	40	COMP248			1028	N
Winter	COMP	352	S SA	TUT	DATA STRUCTURES + ALGORITHMS	H544	14.45.00	15.35.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	30	COMP 249	COMP 232	COEN 352	1052	NOENG
Winter	COMP	248	S SA	TUT	OBJ-ORIENTED PROGRAMMING I	H459	20.30.00	22.10.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	45				1021	N
Winter	COMP	249	S SB	TUT	OBJ-ORIENTED PROGRAMMING II	H621	10.15.00	11.55.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	40	COMP248			1028	N
Winter	COMP	352	S SB	TUT	DATA STRUCTURES + ALGORITHMS	H529	14.45.00	15.35.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	30	COMP 249	COMP 232	COEN 352	1052	NOENG
Winter	COMP	248	S SB	TUT	OBJ-ORIENTED PROGRAMMING I	H619	20.30.00	22.10.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	45				1021	N
Winter	COMP	249	S SC	TUT	OBJ-ORIENTED PROGRAMMING II	H540	10.15.00	11.55.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	40	COMP248			1028	N
Winter	COMP	249	S-X	LAB	OBJ-ORIENTED PROGRAMMING II	H854	16.30.00	17.30.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	16	COMP248				
Winter	COMP	248	U	LEC	OBJ-ORIENTED PROGRAMMING I	H920	10.15.00	11.30.00	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	90				1022	Y
Winter	COMP	232	U	LEC	MATH. FOR COMPUTER SCIENCE	H110	13.15.00	14.30.00	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	120			COMP 238	1012	NOENG
Winter	COMP	249	U	LEC	OBJ-ORIENTED PROGRAMMING II	H557	10.15.00	11.30.00	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	78	COMP248			1029	N
Winter	COMP	248	U UA	TUT	OBJ-ORIENTED PROGRAMMING I	H609	11.45.00	13.25.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	45				1022	Y
Winter	COMP	232	U UA	TUT	MATH. FOR COMPUTER SCIENCE	H561	14.45.00	16.25.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	60			COMP 238	1012	NOENG
Winter	COMP	249	U UA	TUT	OBJ-ORIENTED PROGRAMMING II	H619	10.15.00	11.55.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	45	COMP248			1029	N
Winter	COMP	248	U UB	TUT	OBJ-ORIENTED PROGRAMMING I	H611	11.45.00	13.25.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	45				1022	Y
Winter	COMP	232	U UB	TUT	MATH. FOR COMPUTER SCIENCE	H433	14.45.00	16.25.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	60			COMP 238	1012	NOENG
Winter	COMP	249	U UB	TUT	OBJ-ORIENTED PROGRAMMING II	H613	11.45.00	13.25.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	33	COMP248			1029	N
Winter	COMP	474	UU	LEC	INTELLIGENT SYSTEMS	H562	17.45.00	20.15.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	30	"(COMP352, COEN352)"				NOENG
Winter	COMP	346	UU	LEC	OPERATING SYSTEMS	H820	17.45.00	20.15.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	90	"(COMP 228, SOEN 228), COMP 352."			1039	N
Winter	COMP	346	UUUA	TUT	OPERATING SYSTEMS	H619	16.35.00	17.25.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	45	"(COMP 228, SOEN 228), COMP 352."			1039	N
Winter	COMP	346	UUUB	TUT	OPERATING SYSTEMS	H429	15.35.00	16.25.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	45	"(COMP 228, SOEN 228), COMP 352."			1039	N
Winter	COMP	445	W	LEC	DATA COMM + COMP NETWORKS	H411	13.15.00	14.30.00	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	100	COMP346				NOENG
Winter	COMP	248	W	LEC	OBJ-ORIENTED PROGRAMMING I	H920	11.45.00	13.00.00	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	90				1023	N
